Malayalam,Malu,English
ഹലോ,Halo,Hello
നിങ്ങൾക്ക് സുഖമാണോ?,Ningalkku sukhamaano,How are you?
എനിക്ക് സുഖമാണ്,Enikku sukhamaanu,I am fine
നിങ്ങളുടെ പേര് എന്താണ്?,Ningalude peru enthaanu,What is your name?
എന്റെ പേര് സുധർശൻ ആണ്,Ente peru Sudharson aanu,My name is Sudharson
നിങ്ങൾ എവിടെയാണ്?,Ningal evideyaanu,Where are you from?
ഞാൻ കേരളത്തിൽ നിന്നാണ്,Njan Keralathil ninnanu,I am from Kerala
നന്ദി,Nandi,Thank you
സ്വാഗതം,Swagatham,Welcome
സുപ്രഭാതം,Suprabhatham,Good morning
ശുഭ രാത്രി,Shubha raathri,Good night
വീണ്ടും കാണാം,Veendum kaanam,See you again
അതെ,Athe,Yes
ഇല്ല,Illa,No
ദയവായി,Dayavaayi,Please
ക്ഷമിക്കണം,Kshamikkanam,Sorry
ക്ഷമിക്കണം,Kshamikkanam,Excuse me
എനിക്ക് മനസ്സിലാകുന്നില്ല,Enikku manassilaakunnilla,I don’t understand
നിങ്ങൾക്ക് ഇംഗ്ലീഷ് സംസാരിക്കാമോ?,Ningalkku English samsaarikkaamo,Do you speak English?
അല്പം,Alpam,A little
ഇതിന്റെ വില എത്രയാണ്?,Ithinte vila ethraanu,How much is this?
വളരെ വിലയേറിയതാണ്,Valare vilayeriyathaanu,Too expensive
നിങ്ങൾക്ക് എനിക്ക് സഹായിക്കാമോ?,Ningalkku enikku sahayikkaamo,Can you help me?
ശൗചാലയം എവിടെയാണ്?,Shouchalayam evideyaanu,Where is the toilet?
എനിക്ക് വിശക്കുന്നു,Enikku vishakkunnu,I am hungry
എനിക്ക് ദാഹം തോന്നുന്നു,Enikku daaham thonnunnu,I am thirsty
എനിക്ക് ക്ഷീണം തോന്നുന്നു,Enikku ksheenam thonnunnu,I am tired
ഞാൻ സന്തോഷത്തിലാണ്,Njan santhoshathilaanu,I am happy
ഞാൻ ദുഃഖത്തിലാണ്,Njan dukhathilaanu,I am sad
ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു,Njan ninne snehikkunnu,I love you
എനിക്ക് ഇത് ഇഷ്ടമാണ്,Enikku ithu ishtamaanu,I like this
എനിക്ക് ഇത് ഇഷ്ടമല്ല,Enikku ithu ishtamalla,I don’t like this
എന്താണ് സംഭവിച്ചത്?,Enthaanu sambhavichathu,What happened?
ഒന്നുമില്ല,Onnumilla,Nothing
കാത്തിരിക്കുക,Kaathirikkuka,Wait
ഇവിടെ വരൂ,Ivide varu,Come here
അവിടെ പോകൂ,Avide pokuka,Go there
ഇരിക്കൂ,Irikkuka,Sit down
എഴുന്നേൽക്കൂ,Ezhunnelkkuka,Stand up
ശ്രദ്ധിക്കൂ,Shradhikkuka,Be careful
വിഷമിക്കേണ്ട,Vishamikkenda,Don’t worry
പ്രശ്നമില്ല,Prashnamilla,It’s okay
ശരിക്കുമോ?,Sharikkumo,Really?
തീർച്ചയായും,Theerchayayum,Of course
ഒരുപക്ഷേ,Orupakshe,Maybe
എനിക്ക് അറിയില്ല,Enikku ariyilla,I don’t know
എനിക്ക് അറിയാം,Enikku ariyaam,I know
സമയം എത്രയായി?,Samayam ethraayi,What time is it?
ഇത് അഞ്ചു മണിയാണ്,Ithu anchu maniyaanu,It’s 5 o’clock
ഇന്ന്,Innu,Today
നാളെ,Naale,Tomorrow
ഇന്നലെ,Innale,Yesterday
ഇപ്പോൾ,Ippol,Now
പിന്നീട്,Pinne,Later
എല്ലായ്പ്പോഴും,Ellayppozhum,Always
ഒരിക്കലും,Orikkalum,Never
ചിലപ്പോൾ,Chilappol,Sometimes
ആര്?,Aar,Who?
എന്ത്?,Enth,What?
എപ്പോൾ?,Eppol,When?
എവിടെ?,Evide,Where?
എന്തുകൊണ്ട്?,Enthukondu,Why?
എങ്ങനെ?,Engane,How?
ഇത്,Ithu,This
അത്,Ath,That
ഇവിടെ,Ivide,Here
അവിടെ,Avide,There
വലുത്,Valuth,Big
ചെറുത്,Cheruth,Small
ചൂട്,Chood,Hot
തണുപ്പ്,Thanuppu,Cold
മനോഹരം,Manoharam,Beautiful
മോശം,Mosham,Bad
നല്ലത്,Nallathu,Good
ശരി,Shari,Right
തെറ്റ്,Thettu,Wrong
സുഹൃത്ത്,Suhruth,Friend
കുടുംബം,Kudumbam,Family
അച്ഛൻ,Achchan,Father
അമ്മ,Amma,Mother
സഹോദരൻ,Sahodaran,Brother
സഹോദരി,Sahodari,Sister
മകൻ,Makan,Son
മകൾ,Makal,Daughter
കുട്ടി,Kutti,Child
സ്കൂൾ,School,School
അധ്യാപകൻ,Adhyapakan,Teacher
വിദ്യാർത്ഥി,Vidyarthi,Student
ജോലി,Joli,Work
ഓഫീസ്,Office,Office
ചന്ത,Chantha,Market
വീട്,Veedu,Home
ഭക്ഷണം,Bhakshanam,Food
വെള്ളം,Vellam,Water
ചായ,Chaaya,Tea
കാപ്പി,Kaappi,Coffee
അരി,Ari,Rice
മീൻ,Meen,Fish
